timestamp,interface,can_id,data,label
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
2025-08-08 15:54:17,can0,0x131,00,Benign
2025-08-08 15:54:17,can0,0x141,00,Benign
2025-08-08 15:54:17,can0,0x36,00 00,Benign
2025-08-08 15:54:17,can0,0x26,00 00,Benign
