timestamp,interface,can_id,data,label
2025-08-08 16:32:30,can0,0x3f,A2 30 B0 45 89 2A 5C 44,fuzzy
2025-08-08 16:32:30,can0,0xb,E9 98 2B 5D 45 BA 0A 03,fuzzy
2025-08-08 16:32:30,can0,0x65e,6E 04 0D 02 03 1A 4D 70,fuzzy
2025-08-08 16:32:30,can0,0x6d8,DD B1 28 87 B6 FD 76 84,fuzzy
2025-08-08 16:32:30,can0,0x7b3,82 17 08 33 02 65 4A 93,fuzzy
2025-08-08 16:32:30,can0,0x5cd,BC 9A 1A 66 BD F4 7A 2A,fuzzy
2025-08-08 16:32:30,can0,0x5ae,01 79 AC 76 EF 62 28 87,fuzzy
2025-08-08 16:32:30,can0,0x6a4,7A E6 58 DF 09 5A 6A FA,fuzzy
2025-08-08 16:32:30,can0,0x613,B2 74 F9 13 54 0A 94 C6,fuzzy
2025-08-08 16:32:30,can0,0x48f,96 73 18 38 15 75 60 C2,fuzzy
2025-08-08 16:32:30,can0,0x76b,5E A5 5E 70 29 E8 5A F6,fuzzy
2025-08-08 16:32:30,can0,0x27c,E8 D5 0D 77 24 95 4B 4D,fuzzy
2025-08-08 16:32:30,can0,0x5fe,DA F1 5A B8 75 CA A0 68,fuzzy
2025-08-08 16:32:30,can0,0x1c6,DF B7 33 30 C8 4F 92 71,fuzzy
2025-08-08 16:32:30,can0,0x74c,16 05 FF 23 9C 5B 1F 6F,fuzzy
2025-08-08 16:32:30,can0,0x6b9,69 61 CF 7D 95 3C E7 51,fuzzy
2025-08-08 16:32:30,can0,0x254,F1 6F 2A 77 A6 AC 3E 16,fuzzy
2025-08-08 16:32:30,can0,0x263,DB D5 F6 4C C3 D4 04 FA,fuzzy
2025-08-08 16:32:30,can0,0x631,06 B4 F0 AB DA 6A 35 15,fuzzy
2025-08-08 16:32:30,can0,0x5c9,5A 86 A5 26 EC B8 0D 8C,fuzzy
2025-08-08 16:32:30,can0,0x65c,CA 5F A3 88 87 75 02 1B,fuzzy
2025-08-08 16:32:30,can0,0x3c1,7E AD 99 38 BF 9B 24 9F,fuzzy
2025-08-08 16:32:30,can0,0xab,21 21 CA 3F 1C 36 F6 8E,fuzzy
2025-08-08 16:32:30,can0,0x4b6,26 DD 4D 82 5C AF 2E 06,fuzzy
2025-08-08 16:32:30,can0,0x103,E2 8F F3 ED D4 61 92 6C,fuzzy
2025-08-08 16:32:30,can0,0x506,39 14 A6 C2 F3 B4 2B C7,fuzzy
2025-08-08 16:32:30,can0,0x64b,1A 73 86 CD 07 EF 55 E1,fuzzy
2025-08-08 16:32:30,can0,0x441,9E 88 D9 26 F3 29 32 DA,fuzzy
2025-08-08 16:32:30,can0,0x47c,99 B4 7F 1A EB DD BA 2F,fuzzy
2025-08-08 16:32:30,can0,0x78,A1 F4 39 98 68 F3 09 34,fuzzy
2025-08-08 16:32:30,can0,0x694,2E 81 54 B1 F9 60 DA FF,fuzzy
2025-08-08 16:32:30,can0,0x5b9,24 F7 B9 18 ED E8 50 10,fuzzy
2025-08-08 16:32:30,can0,0x452,D4 E5 5B DC CB 57 B7 72,fuzzy
2025-08-08 16:32:30,can0,0x205,F3 67 1E 1B E6 45 D4 62,fuzzy
2025-08-08 16:32:30,can0,0x117,26 CB A4 AB A9 8C F9 31,fuzzy
2025-08-08 16:32:30,can0,0x14d,11 94 F6 B1 FB A2 AD C8,fuzzy
2025-08-08 16:32:30,can0,0x412,5C 62 0F BA 6E 31 3F AC,fuzzy
2025-08-08 16:32:30,can0,0x2f8,03 8B CE 4C 36 48 EB D4,fuzzy
2025-08-08 16:32:30,can0,0x18d,D0 64 72 50 FD 24 91 67,fuzzy
2025-08-08 16:32:30,can0,0x378,04 EF F7 6F 42 4D B7 48,fuzzy
